Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s)
01/15/2020 08:59:15 am,0.00,0.0000,,,0.71,-0.8,9.7,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.05,0.0000,0.011,,0.70,-0.4,9.8,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.10,0.0011,0.042,0.631,0.70,-0.1,9.8,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.15,0.0040,0.074,0.655,0.70,-0.1,9.7,0.0,9.7,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.20,0.0085,0.108,0.663,0.71,-0.1,9.7,0.0,9.7,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.25,0.0148,0.141,0.656,0.71,-0.1,9.7,0.1,9.7,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.30,0.0227,0.173,0.647,0.70,-0.1,9.9,0.0,9.9,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.35,0.0321,0.205,0.645,0.71,-0.2,9.7,0.0,9.7,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.40,0.0432,0.238,0.651,0.70,-0.1,9.8,0.0,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.45,0.0559,0.270,0.659,0.70,-0.1,9.8,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.50,0.0702,0.304,0.663,0.70,-0.2,9.7,0.0,9.7,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.55,0.0862,0.337,0.656,0.71,-0.1,9.8,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.60,0.1039,0.370,0.643,0.70,-0.1,9.9,-0.1,9.9,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.65,0.1233,0.401,0.637,0.71,-0.1,9.7,0.0,9.7,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.70,0.1441,0.433,0.647,0.71,-0.2,9.8,0.0,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.75,0.1664,0.466,0.658,0.70,-0.1,9.8,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.80,0.1906,0.499,0.656,0.71,-0.1,9.6,0.1,9.6,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.85,0.2165,0.532,0.649,0.71,-0.1,9.8,0.1,9.9,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.90,0.2437,0.563,0.647,0.70,-0.2,9.8,-0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:15 am,0.95,0.2727,0.596,0.648,0.70,-0.2,9.6,0.0,9.6,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.00,0.3034,0.629,0.648,0.70,-0.1,9.7,-0.1,9.7,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.05,0.3357,0.661,0.645,0.70,-0.1,9.8,0.3,9.8,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.10,0.3694,0.693,0.641,0.71,-0.2,9.6,0.0,9.6,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.15,0.4050,0.725,0.635,0.70,-0.2,9.9,0.1,9.9,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.20,0.4420,0.757,0.632,0.70,-0.1,9.9,0.0,9.9,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.25,0.4806,0.788,0.633,0.70,-0.2,9.7,0.0,9.7,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.30,0.5208,0.820,0.635,0.70,-0.2,9.8,-0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.35,0.5625,0.852,0.633,0.70,-0.2,9.9,0.2,9.9,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.40,0.6061,0.883,0.629,0.70,-0.1,9.9,-0.2,9.9,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.45,0.6508,0.915,0.625,0.70,-0.3,9.6,0.2,9.6,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.50,0.6975,0.946,0.620,0.70,-0.2,9.9,0.2,9.9,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.55,0.7455,0.977,0.618,0.70,-0.2,9.8,0.3,9.8,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.60,0.7951,1.007,0.625,0.70,-0.2,9.7,0.2,9.7,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.65,0.8462,1.039,0.635,0.70,-0.2,9.7,0.2,9.7,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.70,0.8990,1.071,0.637,0.70,-0.2,9.8,0.1,9.8,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.75,0.9532,1.103,0.591,0.71,-0.3,9.6,0.0,9.6,0.1,0.1,0.0
01/15/2020 08:59:16 am,1.80,1.0094,1.134,-0.516,0.70,-0.2,9.8,0.1,9.8,0.0,0.0,3.1E-4
01/15/2020 08:59:16 am,1.85,1.0667,1.153,-3.849,0.70,-0.2,9.5,-0.5,9.5,0.0,0.0,0.0
01/15/2020 08:59:16 am,1.90,1.1258,0.866,-8.526,0.71,-0.3,9.8,-0.2,9.8,0.0,3.1E-4,0.0
01/15/2020 08:59:16 am,1.95,1.1828,0.216,-11.288,-13.87,-33.3,9.2,0.5,34.5,0.0,0.0,0.0
01/15/2020 08:59:17 am,2.00,1.1532,-0.487,-9.595,0.43,-5.1,10.0,-0.3,11.2,0.0,0.1,0.0
01/15/2020 08:59:17 am,2.05,1.1042,-0.880,-5.108,0.69,-0.1,9.9,0.2,9.9,-3.1E-4,0.0,0.0
01/15/2020 08:59:17 am,2.10,1.0584,-0.916,-1.258,0.70,0.0,9.6,0.1,9.6,0.1,0.0,0.0
01/15/2020 08:59:17 am,2.15,1.0135,-0.887,0.399,0.71,0.0,10.1,0.1,10.1,0.0,0.0,0.0
01/15/2020 08:59:17 am,2.20,0.9692,-0.857,0.680,0.69,0.0,9.7,0.1,9.7,0.0,0.1,0.0
