t,ax,ay,az
1708857503931759,-0.0175781,-0.993652,0.0722656
1708857503935705,-0.0126953,-0.993652,0.0722656
1708857503939651,-0.013916,-0.984863,0.0683594
1708857503943585,-0.013916,-0.990723,0.0715332
1708857503947526,-0.0187988,-0.990723,0.0715332
1708857503951457,-0.00805664,-0.987061,0.0686035
1708857503955432,-0.00805664,-0.991211,0.0754395
1708857503959349,-0.013916,-0.991211,0.0754395
1708857503963271,-0.0141602,-0.99292,0.0666504
1708857503967225,-0.0141602,-0.990967,0.0686035
1708857503971176,-0.0131836,-0.990967,0.0686035
1708857503975144,-0.0119629,-0.986328,0.0703125
1708857503979086,-0.0119629,-0.986328,0.0708008
1708857503983000,-0.0192871,-0.988525,0.0708008
1708857503986963,-0.017334,-0.991699,0.0637207
1708857503990916,-0.017334,-0.991699,0.0649414
1708857503994843,-0.0161133,-0.98999,0.0649414
1708857503998786,-0.0144043,-0.987793,0.0725098
1708857504002724,-0.0144043,-0.987793,0.0656738
1708857504006754,-0.0180664,-1.00635,0.0656738
1708857504010656,-0.0141602,-0.989502,0.0678711
1708857504014632,-0.0141602,-0.989502,0.0683594
1708857504018539,-0.0126953,-1.00537,0.0683594
1708857504022482,-0.0134277,-0.985107,0.0690918
1708857504026410,-0.0134277,-0.985107,0.0737305
1708857504030357,-0.0131836,-0.98999,0.0737305
1708857504034295,-0.0185547,-1.00806,0.0622559
1708857504038211,-0.0185547,-1.00806,0.00488281
1708857504042138,-0.0124512,-0.960205,0.0673828
1708857504046100,-0.0317383,-1.05225,0.0717773
1708857504050005,-0.0317383,-1.05225,0.0717773
1708857504053969,-0.0168457,-0.967529,0.0720215
1708857504057890,-0.0168457,-1.06885,0.0666504
1708857504061824,-0.0231934,-1.06885,0.0666504
1708857504065763,-0.00537109,-0.965088,0.0727539
1708857504069724,-0.00537109,-1.02197,0.074707
1708857504073599,-0.00048828,-1.02197,0.074707
1708857504077528,-0.0241699,-1.05005,0.0527344
1708857504081502,-0.0241699,-0.974121,0.0847168
1708857504085418,-0.0012207,-0.974121,0.0847168
1708857504089371,-0.0246582,-1.09424,0.0559082
1708857504093248,-0.0246582,-1.08521,0.0654297
1708857504097183,-0.00439453,-0.897705,0.0654297
1708857504101126,-0.0131836,-1.09985,0.0751953
1708857504105055,-0.0131836,-1.0752,0.0588379
1708857504109004,-0.0361328,-0.950195,0.0588379
1708857504112936,0.00927734,-0.990723,0.0944824
1708857504116899,0.00927734,-1,0.050293
1708857504120831,-0.0319824,-1.0625,0.050293
1708857504124762,-0.0197754,-0.938477,0.0610352
1708857504128716,-0.0197754,-0.938477,0.0834961
1708857504132651,-0.0239258,-1.16357,0.0834961
1708857504136593,-0.0366211,-0.991455,0.0571289
1708857504140525,-0.0366211,-0.991455,0.0722656
1708857504144439,0.00292969,-1.03784,0.0722656
1708857504148380,-0.0100098,-0.980225,0.050293
1708857504152301,-0.0100098,-0.980225,0.020752
1708857504156271,0.017334,-0.91748,0.083252
1708857504160158,0.0424805,-1.02979,0.0727539
1708857504164086,-0.0200195,-1.02979,0.122314
1708857504168025,-0.0197754,-0.846436,0.0598144
1708857504171951,-0.00195313,-1.15063,0.0517578
1708857504175882,-0.0644531,-1.15063,0.0517578
1708857504179806,-0.0334473,-0.836914,0.0678711
1708857504183760,-0.0361328,-1.04663,0.0961914
1708857504187672,-0.0361328,-1.04663,0.0961914
1708857504191585,-0.0463867,-1.0083,0.0510254
1708857504195554,-0.0463867,-0.929199,0.0874023
1708857504199468,-0.0158691,-0.929199,0.0874023
1708857504203404,-0.0444336,-1.20801,0.0512695
1708857504207330,-0.0444336,-0.931641,0.0805664
1708857504211263,0.0202637,-0.931641,0.0805664
1708857504215207,-0.034668,-1.22412,0.0371094
1708857504219129,-0.034668,-1.22632,0.0725098
1708857504223070,0.00097656,-1.10132,0.0725098
1708857504227068,0.0297852,-1.03198,0.101807
1708857504230966,0.0297852,-1.01343,0.032959
1708857504234948,-0.0476074,-1.20093,0.032959
1708857504238856,0.00878906,-0.912842,0.0864258
1708857504242788,0.00878906,-0.898682,0.0629883
1708857504246728,-0.019043,-1.14868,0.0629883
1708857504250674,-0.0437012,-1.01147,0.0505371
1708857504254581,-0.0437012,-1.01147,0.098877
1708857504258517,-0.00366211,-0.95459,0.098877
1708857504262446,-0.0339356,-1.09302,0.0539551
1708857504266375,-0.0339356,-1.09302,0.0737305
1708857504270326,-0.0114746,-0.893799,0.0737305
1708857504274276,-0.0505371,-1.11572,0.0512695
1708857504278174,-0.0505371,-1.11572,0.0927734
1708857504282111,-0.0202637,-0.995117,0.0927734
1708857504286035,-0.0227051,-1.01416,0.0756836
1708857504289973,-0.0227051,-1.01416,0.095459
1708857504293940,-0.0622559,-1.14575,0.032959
1708857504297865,-0.0166016,-0.992432,0.0871582
1708857504301786,-0.0166016,-0.992432,0.0710449
1708857504305729,-0.0180664,-1.04028,0.0710449
1708857504309679,-0.0285645,-1.03906,0.0683594
1708857504313566,-0.0285645,-1.03906,0.0683594
1708857504317507,0.0117188,-0.869629,0.0751953
1708857504321436,0.0334473,-1.0498,0.0556641
1708857504325374,-0.0290527,-1.0498,0.0556641
1708857504329316,-0.0266113,-0.866943,0.081543
1708857504333239,-0.0266113,-1.06128,0.0632324
1708857504337265,-0.0861816,-1.06128,0.0632324
1708857504341179,-0.0844727,-1.07422,0.0881348
1708857504345110,-0.0844727,-1.06567,0.0583496
1708857504349055,-0.0791016,-1.06567,0.0583496
1708857504352980,-0.0742188,-1.21313,0.0627441
1708857504356943,-0.0742188,-1.19434,0.0751953
1708857504360874,-0.0141602,-0.944336,0.0751953
1708857504364799,-0.00561523,-1.19287,0.0646973
1708857504368700,-0.00561523,-1.198,0.0678711
1708857504372628,0.0012207,-0.947998,0.0678711
1708857504376596,-0.017334,-1.06299,0.0693359
1708857504380521,-0.017334,-1.08301,0.0529785
1708857504384435,-0.078125,-1.14551,0.0529785
1708857504388384,-0.0266113,-0.940186,0.097168
1708857504392309,-0.0266113,-0.940186,0.0307617
