t,r11,r12,r13,r21,r22,r23,r31,r32,r33
1708857503929122,1.32724e-11,-1,3.67321e-06,-3.61332e-06,-3.67321e-06,-1,1,0,-3.61332e-06
1708857503939279,-1.19869e-07,-1,3.67321e-06,-3.67321e-06,-3.6732e-06,-1,1,-1.19882e-07,-3.67321e-06
1708857503949470,7.19424e-08,-1,3.67321e-06,-3.37355e-06,-3.67321e-06,-1,1,7.193e-08,-3.37355e-06
1708857503959255,1.34925e-11,-1,3.67321e-06,-3.67321e-06,-3.67321e-06,-1,1,2.22045e-16,-3.67321e-06
1708857503969319,1.34925e-11,-1,3.67321e-06,-3.67321e-06,-3.67321e-06,-1,1,2.22045e-16,-3.67321e-06
1708857503979183,-1.79756e-07,-1,3.67321e-06,-3.43355e-06,-3.6732e-06,-1,1,-1.79769e-07,-3.43355e-06
1708857503989233,1.91824e-07,-1,3.67321e-06,-3.31367e-06,-3.67321e-06,-1,1,1.91812e-07,-3.31367e-06
1708857503999431,-1.79792e-07,-1,3.67321e-06,6.2668e-06,-3.67321e-06,-1,1,-1.79769e-07,6.2668e-06
1708857504009196,-2.99673e-07,-1,3.67321e-06,5.96726e-06,-3.67321e-06,-1,1,-2.99651e-07,5.96726e-06
1708857504019368,1.20226e-08,-1,3.67321e-06,5.54783e-06,-3.67321e-06,-1,1,1.2043e-08,5.54783e-06
1708857504029101,-1.19901e-07,-1,3.67321e-06,5.30817e-06,-3.67321e-06,-1,1,-1.19882e-07,5.30817e-06
1708857504039110,-1.19938e-07,-1,3.67321e-06,1.51883e-05,-3.67321e-06,-1,1,-1.19882e-07,1.51883e-05
1708857504049298,-2.99849e-07,-1,3.67321e-06,5.387e-05,-3.67322e-06,-1,1,-2.99651e-07,5.387e-05
1708857504059260,-1.20332e-07,-1,3.67321e-06,0.000122612,-3.67322e-06,-1,1,-1.19882e-07,0.000122612
1708857504069240,-1.80576e-07,-1,3.67321e-06,0.000219616,-3.67324e-06,-1,1,-1.79769e-07,0.000219616
1708857504079486,-2.88937e-07,-1,3.67321e-06,0.000355841,-3.67331e-06,-1,1,-2.8763e-07,0.000355841
1708857504089101,-4.09431e-07,-1,3.67321e-06,0.000522305,-3.67342e-06,-1,1,-4.07512e-07,0.000522305
1708857504099256,-4.10159e-07,-1,3.67321e-06,0.000720747,-3.6735e-06,-1,1,-4.07512e-07,0.000720747
1708857504109218,-5.66669e-07,-1,3.67321e-06,0.000939489,-3.67374e-06,-1,1,-5.63218e-07,0.000939489
1708857504119321,-3.76011e-07,-1,3.6732e-06,0.00120613,-3.67366e-06,-0.999999,0.999999,-3.71581e-07,0.00120613
1708857504129470,-1.9751e-07,-1,3.6732e-06,0.0015511,-3.67351e-06,-0.999999,0.999999,-1.91812e-07,0.0015511
1708857504139136,-1.26994e-07,-1,3.6732e-06,0.00193631,-3.67344e-06,-0.999998,0.999998,-1.19882e-07,0.00193631
1708857504149178,-1.88417e-07,-1,3.67319e-06,0.00235427,-3.67363e-06,-0.999997,0.999997,-1.79769e-07,0.00235427
1708857504159464,-1.89791e-07,-1,3.67319e-06,0.00272847,-3.6737e-06,-0.999996,0.999996,-1.79768e-07,0.00272847
1708857504169156,-1.14498e-08,-1,3.67319e-06,0.00311711,-3.67321e-06,-0.999995,0.999995,0,0.00311711
1708857504179303,-3.12368e-07,-1,3.67318e-06,0.00346209,-3.67424e-06,-0.999994,0.999994,-2.99649e-07,0.00346209
1708857504189100,-2.05803e-07,-1,3.67318e-06,0.003815,-3.67394e-06,-0.999993,0.999993,-1.91789e-07,0.003815
1708857504199067,2.71906e-07,-1,3.67317e-06,0.00428078,-3.67197e-06,-0.999991,0.999991,2.87627e-07,0.00428078
1708857504209188,2.81936e-07,-1,3.67316e-06,0.00482878,-3.67176e-06,-0.999988,0.999988,2.9967e-07,0.00482878
1708857504218979,3.63229e-07,-1,3.67315e-06,0.00550479,-3.67109e-06,-0.999985,0.999985,3.83443e-07,0.00550479
1708857504229369,1.80552e-07,-1,3.67313e-06,0.00629638,-3.67192e-06,-0.99998,0.99998,2.03676e-07,0.00629638
1708857504239038,2.37091e-07,-1,3.67311e-06,0.00720797,-3.67131e-06,-0.999974,0.999974,2.6356e-07,0.00720797
1708857504249160,1.37454e-07,-1,3.67308e-06,0.00824741,-3.67182e-06,-0.999966,0.999966,1.67742e-07,0.00824741
1708857504259349,3.49088e-07,-1,3.67305e-06,0.00935446,-3.66962e-06,-0.999956,0.999956,3.83432e-07,0.00935446
1708857504269474,1.29145e-07,-1,3.673e-06,0.0105093,-3.67144e-06,-0.999945,0.999945,1.67739e-07,0.0105093
1708857504279436,3.40419e-07,-1,3.67295e-06,0.0117145,-3.66871e-06,-0.999931,0.999931,3.83423e-07,0.0117145
1708857504288976,-1.5555e-07,-1,3.6729e-06,0.012989,-3.67461e-06,-0.999916,0.999916,-1.0783e-07,0.012989
1708857504299284,-5.26966e-08,-1,3.67283e-06,0.0143462,-3.67321e-06,-0.999897,0.999897,-2.77556e-16,0.0143462
1708857504309519,1.81843e-07,-1,3.67275e-06,0.0157392,-3.66943e-06,-0.999876,0.999876,2.39626e-07,0.0157392
1708857504319057,-7.47718e-08,-1,3.67267e-06,0.0170834,-3.67341e-06,-0.999854,0.999854,-1.20192e-08,0.0170834
1708857504329187,3.159e-07,-1,3.67259e-06,0.0183897,-3.66615e-06,-0.999831,0.999831,3.83384e-07,0.0183897
