t,fx,fy,fz,tx,ty,tz
1708857503929545,-0.190451,-0.899815,10.1437,0.425679,-1.0967,-0.148439
1708857503930982,-0.189985,-0.910656,10.1657,0.425549,-1.09593,-0.148938
1708857503932413,-0.174468,-0.911657,10.16,0.425958,-1.09561,-0.147767
1708857503933829,-0.18179,-0.905563,10.1596,0.425161,-1.09628,-0.147899
1708857503935266,-0.20002,-0.905579,10.1442,0.426503,-1.09583,-0.14829
1708857503936722,-0.227589,-0.918657,10.1441,0.425284,-1.09813,-0.148418
1708857503938143,-0.211887,-0.920853,10.1523,0.425898,-1.09693,-0.148017
1708857503939569,-0.207239,-0.912848,10.137,0.425546,-1.0975,-0.148043
1708857503941028,-0.199208,-0.910762,10.1823,0.425785,-1.0957,-0.148117
1708857503942468,-0.219866,-0.933542,10.1754,0.425761,-1.09833,-0.147996
1708857503943904,-0.228118,-0.933974,10.1671,0.425764,-1.09773,-0.148389
1708857503945309,-0.220321,-0.922941,10.168,0.426109,-1.09898,-0.147876
1708857503946753,-0.224184,-0.933185,10.1596,0.425766,-1.09651,-0.148258
1708857503948161,-0.236243,-0.932953,10.1596,0.425566,-1.09827,-0.148394
1708857503949605,-0.223842,-0.932195,10.1602,0.425339,-1.09727,-0.147869
1708857503951038,-0.22089,-0.92812,10.1531,0.426485,-1.09872,-0.147758
1708857503952451,-0.238313,-0.929248,10.2136,0.427164,-1.09762,-0.148061
1708857503953894,-0.250154,-0.909064,10.1757,0.426539,-1.09954,-0.147976
1708857503955362,-0.216621,-0.926939,10.1684,0.426276,-1.09788,-0.147606
1708857503956797,-0.21193,-0.931131,10.1521,0.425993,-1.09653,-0.148146
1708857503958186,-0.224479,-0.921239,10.1758,0.425916,-1.0983,-0.147727
1708857503959629,-0.241915,-0.935535,10.1526,0.426643,-1.09808,-0.14813
1708857503961058,-0.238005,-0.932819,10.1758,0.426895,-1.09851,-0.147979
1708857503962494,-0.215954,-0.937779,10.1598,0.42592,-1.09698,-0.148138
1708857503963911,-0.200111,-0.910217,10.2201,0.4269,-1.09633,-0.148474
1708857503965350,-0.215934,-0.932527,10.152,0.425982,-1.09724,-0.14828
1708857503966786,-0.208524,-0.918289,10.1685,0.426369,-1.09723,-0.147476
1708857503968227,-0.211496,-0.919389,10.1523,0.425696,-1.09807,-0.148027
1708857503969659,-0.238065,-0.927934,10.1456,0.42673,-1.09839,-0.147747
1708857503971080,-0.190688,-0.938654,10.1362,0.42609,-1.0969,-0.148582
1708857503972526,-0.166834,-0.917266,10.1591,0.426979,-1.09532,-0.148432
1708857503973956,-0.186663,-0.937126,10.1445,0.425885,-1.09632,-0.148044
1708857503975395,-0.175075,-0.912431,10.1442,0.426606,-1.09498,-0.148174
