t,ax,ay,az
1708857848430546,-0.0212402,-0.985596,0.0754395
1708857848434452,-0.019043,-0.985352,0.0749512
1708857848438389,-0.019043,-0.985596,0.0749512
1708857848442352,-0.0192871,-0.985596,0.0749512
1708857848446319,-0.00805664,-0.991211,0.0678711
1708857848450215,-0.00805664,-0.988037,0.0751953
1708857848454150,-0.00976563,-0.988037,0.0751953
1708857848458091,-0.00878906,-1.00439,0.0695801
1708857848462047,-0.00878906,-1.01123,0.0690918
1708857848465975,-0.0119629,-1.01123,0.0690918
1708857848469896,-0.0197754,-0.987305,0.0520019
1708857848473833,-0.0197754,-0.98291,0.0695801
1708857848477793,-0.0153809,-0.98291,0.0695801
1708857848481716,-0.0212402,-0.978271,0.0627441
1708857848485659,-0.0212402,-0.97998,0.0617676
1708857848489614,-0.0288086,-0.97998,0.0617676
1708857848493556,-0.0168457,-0.978271,0.072998
1708857848497500,-0.0168457,-0.982178,0.0712891
1708857848501435,-0.0249023,-0.982178,0.0712891
1708857848505372,-0.0205078,-0.994873,0.0693359
1708857848509308,-0.0205078,-0.994873,0.0803223
1708857848513255,-0.0109863,-0.988037,0.0803223
1708857848517209,-0.0131836,-1.01099,0.0681152
1708857848521117,-0.0131836,-1.01099,0.065918
1708857848525144,-0.0158691,-0.989746,0.065918
1708857848529126,-0.0134277,-0.995117,0.0756836
1708857848533029,-0.0134277,-0.995117,0.0610352
1708857848536953,-0.0344238,-0.990234,0.0610352
1708857848540944,-0.0214844,-0.975586,0.0617676
1708857848544857,-0.0214844,-0.975586,0.0661621
1708857848548790,-0.0205078,-0.985596,0.0661621
1708857848552728,-0.0185547,-0.96875,0.0683594
1708857848556691,-0.0185547,-0.96875,0.0644531
1708857848560602,-0.0166016,-1.02368,0.0644531
1708857848564543,-0.0065918,-1.00464,0.0739746
1708857848568453,-0.0065918,-1.00464,0.0710449
1708857848572385,-0.00854492,-1.06348,0.0710449
1708857848576325,-0.00561523,-1.01831,0.0751953
1708857848580208,-0.00561523,-1.01831,0.0751953
1708857848584136,-0.00292969,-1.06055,0.076416
1708857848588052,-0.00292969,-1.04224,0.0700684
1708857848591977,-0.015625,-1.04224,0.0700684
1708857848595911,-0.0129394,-1.00806,0.0703125
1708857848599810,-0.0129394,-1.05469,0.0603027
1708857848603738,-0.0224609,-1.05469,0.0603027
1708857848607678,-0.0222168,-0.958984,0.0546875
1708857848611626,-0.0222168,-0.960693,0.0656738
1708857848615556,-0.0166016,-1.02319,0.0656738
1708857848619561,-0.00976563,-0.981445,0.0700684
1708857848623553,-0.00976563,-0.939453,0.0681152
1708857848627472,-0.0253906,-1.00195,0.0681152
1708857848631400,-0.0104981,-1.03296,0.0720215
1708857848635328,-0.0104981,-1.04541,0.0637207
1708857848639265,-0.0119629,-0.98291,0.0637207
1708857848643199,-0.0148926,-1.03784,0.0732422
1708857848647129,-0.0148926,-1.0105,0.0749512
1708857848651066,0.00024414,-1.0105,0.0749512
1708857848655018,-0.0112305,-0.966797,0.0756836
1708857848658958,-0.0112305,-0.966797,0.0661621
1708857848662853,-0.00463867,-1.02588,0.0661621
1708857848666795,-0.019043,-0.976318,0.0617676
1708857848670750,-0.019043,-0.976318,0.0622559
1708857848674681,-0.0236816,-0.997314,0.0622559
1708857848678623,-0.0288086,-1.01538,0.0690918
1708857848682572,-0.0288086,-1.01538,0.0688477
1708857848686524,-0.0302734,-0.979736,0.0688477
1708857848690491,-0.032959,-1.06299,0.0749512
1708857848694468,-0.032959,-1.06299,0.0744629
1708857848698345,-0.0334473,-1.04663,0.0744629
1708857848702284,-0.0124512,-1.07544,0.0722656
1708857848706211,-0.0124512,-1.07544,0.067627
1708857848710138,-0.017334,-1.0481,0.067627
1708857848714057,-0.059082,-1.01953,0.0703125
1708857848717960,0.00341797,-1.01953,0.0703125
1708857848721924,-0.0214844,-1.08154,0.0739746
1708857848725821,-0.0214844,-1.02075,0.0722656
1708857848729813,-0.0168457,-1.02075,0.0722656
1708857848733761,-0.0270996,-1.07568,0.0600586
1708857848737708,-0.0270996,-0.995361,0.0656738
1708857848741651,-0.0219727,-0.995361,0.0656738
