t,r11,r12,r13,r21,r22,r23,r31,r32,r33
1708857848429390,1.91548e-07,-1,3.67321e-06,7.17607e-05,-3.67319e-06,-1,1,1.91812e-07,7.17607e-05
1708857848439064,2.39367e-07,-1,3.67321e-06,7.86516e-05,-3.67319e-06,-1,1,2.39656e-07,7.86516e-05
1708857848449302,-3.05876e-10,-1,3.67321e-06,8.32722e-05,-3.67321e-06,-1,1,3.88578e-16,8.32722e-05
1708857848458986,1.9141e-07,-1,3.67321e-06,0.000109331,-3.67318e-06,-1,1,1.91812e-07,0.000109331
1708857848469274,1.19461e-07,-1,3.67321e-06,0.000114605,-3.67319e-06,-1,1,1.19882e-07,0.000114605
1708857848479374,1.19463e-07,-1,3.67321e-06,0.000113945,-3.67319e-06,-1,1,1.19882e-07,0.000113945
1708857848489077,1.16304e-08,-1,3.67321e-06,0.000112328,-3.6732e-06,-1,1,1.2043e-08,0.000112328
1708857848499279,-1.80168e-07,-1,3.67321e-06,0.000108552,-3.67322e-06,-1,1,-1.79769e-07,0.000108552
1708857848509346,-3.75625e-10,-1,3.67321e-06,0.000102261,-3.67321e-06,-1,1,-5.55112e-16,0.000102261
1708857848519131,-3.30503e-10,-1,3.67321e-06,8.99766e-05,-3.67321e-06,-1,1,-1.66533e-16,8.99766e-05
1708857848529231,-2.42683e-10,-1,3.67321e-06,6.60682e-05,-3.67321e-06,-1,1,-5.55112e-17,6.60682e-05
1708857848539437,-1.94651e-10,-1,3.67321e-06,5.29917e-05,-3.67321e-06,-1,1,-8.88178e-16,5.29917e-05
1708857848549101,-1.20068e-07,-1,3.67321e-06,5.0701e-05,-3.67321e-06,-1,1,-1.19882e-07,5.0701e-05
1708857848559255,-2.86036e-10,-1,3.67321e-06,7.7871e-05,-3.67321e-06,-1,1,-1.11022e-16,7.7871e-05
1708857848568965,1.91342e-07,-1,3.67321e-06,0.000127917,-3.67318e-06,-1,1,1.91812e-07,0.000127917
1708857848579052,7.11153e-08,-1,3.6732e-06,0.000221799,-3.67319e-06,-1,1,7.193e-08,0.000221799
1708857848589130,-1.33133e-09,-1,3.6732e-06,0.000362444,-3.67321e-06,-1,1,-2.22045e-16,0.000362444
1708857848598958,-2.06749e-09,-1,3.6732e-06,0.000562857,-3.67321e-06,-1,1,-4.44089e-16,0.000562857
1708857848609020,1.88809e-07,-1,3.6732e-06,0.00081765,-3.67305e-06,-1,1,1.91812e-07,0.00081765
1708857848619243,-4.07261e-09,-1,3.6732e-06,0.00110874,-3.67321e-06,-0.999999,0.999999,-4.44089e-16,0.00110874
