t,fx,fy,fz,tx,ty,tz
1708857848429248,-0.10509,-0.968261,10.0837,0.427587,-1.09321,-0.147894
1708857848430684,-0.12181,-0.961933,10.1218,0.427693,-1.09403,-0.147976
1708857848432145,-0.134295,-0.97262,10.0835,0.427795,-1.09476,-0.148276
1708857848433572,-0.138893,-0.980375,10.1141,0.428153,-1.09444,-0.148236
1708857848434997,-0.151273,-0.970373,10.0843,0.427848,-1.09608,-0.147875
1708857848436428,-0.166531,-0.959783,10.106,0.426898,-1.09628,-0.148499
1708857848437846,-0.188167,-0.989563,10.0917,0.427448,-1.09726,-0.14824
1708857848439271,-0.174641,-0.954333,10.1287,0.426758,-1.09657,-0.148601
1708857848440696,-0.230325,-0.889654,10.2038,0.420363,-1.09758,-0.148351
1708857848442134,-0.308811,-1.0547,10.1774,0.43499,-1.10328,-0.149001
1708857848443567,-0.284338,-0.978314,10.1902,0.428173,-1.10196,-0.149137
1708857848444986,-0.179287,-0.927008,10.2115,0.423363,-1.09487,-0.148496
1708857848446428,-0.139992,-1.05995,10.0016,0.43642,-1.09364,-0.148608
1708857848447875,-0.179948,-0.776121,10.1956,0.419682,-1.09593,-0.147994
1708857848449303,-0.30009,-0.802092,10.1513,0.41491,-1.1024,-0.147333
1708857848450740,-0.36108,-1.11518,10.1637,0.440272,-1.10275,-0.149091
1708857848452160,-0.336691,-0.912751,10.2438,0.422446,-1.10568,-0.148274
1708857848453611,-0.228221,-1.03896,10.2308,0.433093,-1.09676,-0.147909
1708857848455056,-0.208668,-0.999511,10.1076,0.43066,-1.0969,-0.148329
1708857848456489,-0.297505,-0.752505,10.1182,0.413295,-1.10274,-0.148694
1708857848457891,-0.380633,-0.918714,10.1322,0.427041,-1.10558,-0.147558
1708857848459324,-0.324448,-0.880282,10.1448,0.421922,-1.10232,-0.14797
1708857848460766,-0.251893,-0.983824,10.1694,0.428503,-1.10235,-0.147873
1708857848462232,-0.190185,-1.06578,10.1256,0.436003,-1.09581,-0.147388
1708857848463619,-0.244204,-0.810672,10.1493,0.417584,-1.09737,-0.148529
1708857848465057,-0.264619,-0.834853,10.0815,0.421274,-1.10094,-0.149006
1708857848466486,-0.231302,-0.866664,10.0534,0.424143,-1.09815,-0.147722
