t,ax,ay,az
1709144270166913,-0.0109863,-0.998779,0.0876465
1709144270170906,-0.0126953,-0.992676,0.0893555
1709144270174818,-0.0126953,-0.996826,0.0930176
1709144270178788,-0.0104981,-0.996826,0.0930176
1709144270182738,-0.017334,-0.996582,0.0849609
1709144270186662,-0.017334,-0.99292,0.0888672
1709144270190607,-0.0112305,-0.99292,0.0888672
1709144270194622,-0.0104981,-0.992432,0.0895996
1709144270198570,-0.0104981,-0.998779,0.0991211
1709144270202566,-0.0158691,-0.998779,0.0991211
1709144270206451,-0.00512695,-1.00195,0.0930176
1709144270210389,-0.00512695,-1.00098,0.090332
1709144270214306,-0.0078125,-1.00098,0.090332
1709144270218204,-0.0107422,-1.00049,0.0898438
1709144270222167,-0.0107422,-1.05273,0.0900879
1709144270226097,-0.0102539,-0.990234,0.0900879
1709144270230052,-0.0119629,-0.996338,0.0900879
1709144270233958,-0.0119629,-0.996338,0.0915527
1709144270237914,-0.0114746,-0.993164,0.0915527
1709144270241857,-0.0124512,-0.987305,0.0908203
1709144270245786,-0.0124512,-0.987305,0.0942383
1709144270249702,-0.0136719,-1.01147,0.0942383
1709144270253668,-0.00805664,-0.989502,0.0949707
1709144270257615,-0.00805664,-0.989502,0.0917969
1709144270261531,-0.0100098,-1.01172,0.0917969
1709144270265469,-0.0102539,-0.98584,0.090332
1709144270269399,-0.0102539,-0.98584,0.0874023
1709144270273328,-0.0168457,-1.02075,0.0874023
1709144270277301,-0.0178223,-1.01489,0.0983887
1709144270281247,-0.0178223,-1.01489,0.0866699
1709144270285143,-0.00634766,-1.00903,0.0866699
1709144270289080,-0.0158691,-1.03979,0.0827637
1709144270293054,-0.0158691,-1.03979,0.0827637
1709144270296955,-0.00439453,-0.95752,0.0964355
1709144270300898,-0.0161133,-1.09863,0.0822754
1709144270304900,-0.0161133,-1.09863,0.0822754
1709144270308840,-0.00927734,-0.949707,0.0949707
1709144270312773,-0.00927734,-1.03418,0.0986328
1709144270316698,-0.0012207,-1.03418,0.0986328
1709144270320622,-0.0351562,-1.02759,0.0805664
1709144270324601,-0.0351562,-0.952881,0.102295
1709144270328528,-0.00268555,-0.952881,0.102295
1709144270332423,-0.0180664,-1.12036,0.088623
1709144270336394,-0.0180664,-0.956055,0.0944824
1709144270340327,-0.013916,-0.956055,0.0944824
1709144270344266,-0.00195313,-0.997559,0.10498
1709144270348190,-0.00195313,-0.961914,0.0817871
1709144270352091,-0.0266113,-1.02441,0.0817871
1709144270356026,-0.00341797,-0.936279,0.0932617
1709144270359978,-0.00341797,-0.915527,0.0952148
1709144270363858,-0.00366211,-1.10303,0.0952148
1709144270367828,-0.0305176,-0.903076,0.0749512
1709144270371770,-0.0305176,-0.903076,0.0966797
1709144270375747,-0.0178223,-1.10254,0.0966797
1709144270379688,-0.0158691,-0.969482,0.0883789
1709144270383636,-0.0158691,-0.969482,0.0942383
1709144270387528,-0.00732422,-1.00952,0.0942383
1709144270391466,-0.0185547,-1.03662,0.083252
1709144270395393,-0.0185547,-1.03662,0.0996094
1709144270399363,-0.00537109,-0.923584,0.0996094
1709144270403298,-0.0268555,-1.19116,0.0974121
1709144270407198,-0.0268555,-1.19116,0.0947266
1709144270411115,-0.0246582,-0.974365,0.0947266
1709144270415169,-0.0419922,-1.19458,0.0849609
1709144270419112,-0.0419922,-1.19458,0.0961914
1709144270423031,0.00878906,-1.06323,0.0961914
1709144270426843,0,-0.965088,0.078125
1709144270430680,0,-0.965088,0.078125
1709144270434605,0.0192871,-1.10083,0.105469
1709144270438555,0.0192871,-0.79541,0.083252
1709144270442459,0.0153809,-0.79541,0.083252
1709144270446391,-0.034668,-1.11157,0.0825195
1709144270450396,-0.034668,-0.897705,0.0957031
1709144270454305,-0.0136719,-0.897705,0.0957031
1709144270458200,-0.0686035,-1.01782,0.0861816
1709144270462130,-0.0686035,-1.04736,0.0837402
1709144270466084,-0.0581055,-1.04736,0.0837402
1709144270469999,-0.00952148,-0.841553,0.0976562
1709144270473968,-0.00952148,-0.844238,0.0915527
1709144270477894,-0.0258789,-1.09424,0.0915527
1709144270481800,-0.0148926,-1.01123,0.0986328
1709144270485728,-0.0148926,-1.01343,0.0915527
1709144270489662,-0.0300293,-1.13843,0.0915527
1709144270493601,-0.0378418,-1.23193,0.0734863
1709144270497526,-0.0378418,-1.23193,0.110596
1709144270501451,0.0126953,-1.00562,0.110596
1709144270505363,-0.00732422,-1.24146,0.0881348
1709144270509344,-0.00732422,-1.24146,0.0888672
1709144270513283,0.0202637,-0.976074,0.0888672
1709144270517141,-0.00170898,-1.11719,0.101318
1709144270521066,-0.00170898,-1.11719,0.0668945
1709144270525101,-0.0605469,-1.1123,0.0668945
1709144270529025,-0.00195313,-0.955811,0.110596
1709144270532928,-0.00195313,-0.955811,0.0693359
1709144270536858,-0.0661621,-1.13745,0.0693359
1709144270540789,-0.0803223,-0.904541,0.108643
1709144270544742,-0.0178223,-0.904541,0.119629
1709144270548692,-0.0336914,-1.02246,0.119629
1709144270552600,-0.0166016,-1.05225,0.0737305
1709144270556504,-0.0791016,-1.05225,0.0737305
1709144270560456,-0.0078125,-0.876221,0.114258
1709144270564401,-0.0146484,-1.17456,0.0693359
1709144270568331,-0.0771484,-1.17456,0.0693359
1709144270572265,-0.0161133,-1.00684,0.105225
1709144270576158,-0.0161133,-1.01733,0.103271
1709144270580086,-0.0183105,-1.01733,0.103271
1709144270584044,-0.0219727,-1.10303,0.079834
1709144270587998,-0.0219727,-0.879639,0.095459
1709144270591941,0.0322266,-0.879639,0.095459
1709144270595856,-0.0441894,-1.15527,0.0722656
1709144270599804,-0.0441894,-1.13281,0.113525
1709144270603737,-0.0126953,-0.882812,0.113525
1709144270607667,-0.0583496,-1.15942,0.0878906
1709144270611610,-0.0583496,-1.18652,0.0915527
1709144270615535,-0.0390625,-0.999023,0.0915527
1709144270619470,-0.0151367,-0.930908,0.102051
1709144270623380,-0.0151367,-0.891357,0.0944824
1709144270627361,-0.0273438,-1.07886,0.0944824
1709144270631312,-0.0566406,-0.919678,0.0786133
1709144270635326,-0.0566406,-0.919678,0.0974121
1709144270639238,-0.0651855,-1.19995,0.0974121
1709144270643120,-0.0454102,-1.11768,0.114014
1709144270647056,-0.0454102,-1.11768,0.0681152
1709144270651014,-0.0424805,-1.10596,0.0681152
1709144270654951,-0.0546875,-1.2251,0.0563965
1709144270658881,-0.0546875,-1.2251,0.126465
1709144270662801,0.00830078,-0.965332,0.126465
1709144270666739,-0.0595703,-1.24902,0.079834
1709144270670660,-0.0595703,-1.24902,0.101807
1709144270674594,-0.0229492,-1.01929,0.101807
1709144270678514,-0.0563965,-1.01294,0.119629
1709144270682424,0.00610352,-1.01294,0.108643
1709144270686398,-0.0935059,-1.13696,0.0461426
1709144270690323,-0.0908203,-0.893066,0.119141
1709144270694245,-0.0283203,-0.893066,0.119141
1709144270698188,-0.064209,-1.09155,0.10376
1709144270702104,-0.0959473,-0.930664,0.0791016
1709144270706052,-0.0959473,-0.930664,0.0791016
