t,r11,r12,r13,r21,r22,r23,r31,r32,r33
1709144270171645,-3.57136e-06,-1,3.6732e-06,9.26287e-06,-3.67323e-06,-1,1,-3.57133e-06,9.26288e-06
1709144270181679,-3.63136e-06,-1,3.6732e-06,9.32286e-06,-3.67323e-06,-1,1,-3.63133e-06,9.32287e-06
1709144270191846,-3.54741e-06,-1,3.6732e-06,9.08309e-06,-3.67323e-06,-1,1,-3.54738e-06,9.08311e-06
1709144270201925,-3.70312e-06,-1,3.6732e-06,9.26297e-06,-3.67323e-06,-1,1,-3.70309e-06,9.26298e-06
1709144270212014,-3.75114e-06,-1,3.6732e-06,9.56252e-06,-3.67324e-06,-1,1,-3.7511e-06,9.56253e-06
1709144270222040,-3.763e-06,-1,3.6732e-06,9.38274e-06,-3.67324e-06,-1,1,-3.76297e-06,9.38276e-06
1709144270232056,-3.66719e-06,-1,3.6732e-06,9.56262e-06,-3.67324e-06,-1,1,-3.66715e-06,9.56263e-06
1709144270241967,-3.47538e-06,-1,3.6732e-06,9.80217e-06,-3.67323e-06,-1,1,-3.47534e-06,9.80218e-06
1709144270252065,-3.75114e-06,-1,3.6732e-06,9.98194e-06,-3.67324e-06,-1,1,-3.7511e-06,9.98195e-06
1709144270262016,-3.66722e-06,-1,3.6732e-06,2.04014e-05,-3.67327e-06,-1,1,-3.66715e-06,2.04014e-05
1709144270272021,-3.75125e-06,-1,3.6732e-06,4.10007e-05,-3.67335e-06,-1,1,-3.7511e-06,4.10007e-05
1709144270281793,-3.76327e-06,-1,3.6732e-06,8.05212e-05,-3.6735e-06,-1,1,-3.76297e-06,8.05213e-05
1709144270292003,-3.82352e-06,-1,3.6732e-06,0.000150521,-3.67378e-06,-1,1,-3.82297e-06,0.000150521
1709144270302055,-3.81191e-06,-1,3.6732e-06,0.000250521,-3.67416e-06,-1,1,-3.81099e-06,0.000250521
1709144270312056,-4.07604e-06,-1,3.6732e-06,0.00037166,-3.67471e-06,-1,1,-4.07467e-06,0.00037166
1709144270321856,-4.01673e-06,-1,3.67318e-06,0.000530828,-3.67531e-06,-1,1,-4.01478e-06,0.000530828
1709144270332066,-4.02959e-06,-1,3.67312e-06,0.000754137,-3.67616e-06,-1,1,-4.02682e-06,0.000754137
1709144270342114,-4.04234e-06,-1,3.67307e-06,0.00098206,-3.67703e-06,-1,1,-4.03873e-06,0.00098206
1709144270351903,-3.92347e-06,-1,3.67303e-06,0.00122674,-3.67785e-06,-0.999999,0.999999,-3.91896e-06,0.00122674
1709144270361930,-3.96015e-06,-1,3.67302e-06,0.00146177,-3.67881e-06,-0.999999,0.999999,-3.95478e-06,0.00146177
1709144270371977,-3.69754e-06,-1,3.67308e-06,0.00172075,-3.67944e-06,-0.999999,0.999999,-3.69121e-06,0.00172075
1709144270382041,-3.86639e-06,-1,3.67309e-06,0.00202302,-3.6809e-06,-0.999998,0.999998,-3.85895e-06,0.00202302
1709144270391690,-3.85556e-06,-1,3.6731e-06,0.00235302,-3.68216e-06,-0.999997,0.999997,-3.84691e-06,0.00235302
1709144270401890,-3.59335e-06,-1,3.67311e-06,0.00276146,-3.68302e-06,-0.999996,0.999996,-3.5832e-06,0.00276146
1709144270411871,-3.60734e-06,-1,3.67313e-06,0.0032963,-3.685e-06,-0.999995,0.999995,-3.59521e-06,0.0032963
1709144270421902,-3.77725e-06,-1,3.67313e-06,0.00388671,-3.68778e-06,-0.999992,0.999992,-3.76294e-06,0.00388671
1709144270431922,-3.83964e-06,-1,3.67311e-06,0.00453808,-3.6905e-06,-0.99999,0.99999,-3.82293e-06,0.00453808
1709144270442004,-3.72212e-06,-1,3.67308e-06,0.00518025,-3.69231e-06,-0.999987,0.999987,-3.70304e-06,0.00518025
1709144270452077,-3.50869e-06,-1,3.67308e-06,0.00579893,-3.69337e-06,-0.999983,0.999983,-3.48733e-06,0.00579893
1709144270461984,-3.96619e-06,-1,3.67307e-06,0.00638384,-3.69832e-06,-0.99998,0.99998,-3.94266e-06,0.00638384
1709144270471755,-3.78879e-06,-1,3.67306e-06,0.00702849,-3.6996e-06,-0.999975,0.999975,-3.76288e-06,0.00702849
1709144270482000,-3.65983e-06,-1,3.67307e-06,0.00775846,-3.70136e-06,-0.99997,0.99997,-3.63122e-06,0.00775846
1709144270491981,-3.69865e-06,-1,3.67309e-06,0.00857608,-3.70468e-06,-0.999963,0.999963,-3.66701e-06,0.00857608
1709144270501902,-3.33077e-06,-1,3.67307e-06,0.00957938,-3.7048e-06,-0.999954,0.999954,-3.29543e-06,0.00957938
1709144270512045,-3.59871e-06,-1,3.67302e-06,0.0107308,-3.71142e-06,-0.999942,0.999942,-3.55908e-06,0.0107308
1709144270521720,-3.42358e-06,-1,3.67297e-06,0.0119946,-3.71377e-06,-0.999928,0.999928,-3.37928e-06,0.0119946
1709144270532041,-3.41656e-06,-1,3.67289e-06,0.0133612,-3.71821e-06,-0.999911,0.999911,-3.36718e-06,0.0133612
1709144270541845,-3.84141e-06,-1,3.67282e-06,0.0148012,-3.72927e-06,-0.99989,0.99989,-3.78662e-06,0.0148012
1709144270552117,-3.72689e-06,-1,3.67273e-06,0.0162647,-3.73286e-06,-0.999868,0.999868,-3.66666e-06,0.0162647
1709144270562008,-3.50472e-06,-1,3.67263e-06,0.0177489,-3.73425e-06,-0.999842,0.999842,-3.43898e-06,0.0177489
