t,fx,fy,fz,tx,ty,tz
1709144270167576,-0.036848,-0.919933,9.68302,0.416311,-1.08424,-0.158233
1709144270168982,-0.035919,-0.908288,9.67491,0.415789,-1.08566,-0.158519
1709144270170439,-0.03725,-0.899294,9.69051,0.416783,-1.08516,-0.158363
1709144270171885,-0.027631,-0.910022,9.66714,0.415754,-1.08449,-0.158525
1709144270173301,-0.027604,-0.919695,9.67463,0.415859,-1.0846,-0.15865
1709144270174738,-0.02459,-0.903196,9.67491,0.416714,-1.08429,-0.158517
1709144270176176,-0.024349,-0.913332,9.68232,0.416592,-1.08402,-0.158639
1709144270177611,-0.036484,-0.908797,9.67557,0.416005,-1.08527,-0.158118
1709144270179026,-0.067643,-0.895117,9.67704,0.417095,-1.08569,-0.15743
1709144270180469,-0.056917,-0.925375,9.68194,0.416051,-1.08513,-0.159016
1709144270181875,-0.054703,-0.914173,9.69077,0.417287,-1.08455,-0.158341
1709144270183338,-0.071318,-0.903673,9.68337,0.416995,-1.08462,-0.158203
1709144270184755,-0.075943,-0.908664,9.70772,0.417169,-1.08646,-0.157395
1709144270186187,-0.09267,-0.899034,9.67624,0.417301,-1.08577,-0.158068
1709144270187609,-0.083917,-0.889135,9.69154,0.416971,-1.08614,-0.157931
1709144270189059,-0.079448,-0.900368,9.69885,0.417051,-1.08706,-0.158199
1709144270190493,-0.118174,-0.918243,9.72952,0.417772,-1.08557,-0.158249
1709144270191900,-0.096457,-0.91376,9.73021,0.417139,-1.08773,-0.157758
1709144270193330,-0.109112,-0.907022,9.70673,0.417232,-1.08683,-0.158161
1709144270194810,-0.109087,-0.892206,9.71428,0.417192,-1.08698,-0.158153
1709144270196215,-0.099318,-0.907082,9.73691,0.416123,-1.08706,-0.15814
1709144270197659,-0.109678,-0.907531,9.70738,0.417448,-1.08644,-0.15776
1709144270199106,-0.11283,-0.908501,9.73,0.416784,-1.08754,-0.157874
1709144270200557,-0.105517,-0.909459,9.71544,0.417421,-1.087,-0.157496
1709144270201922,-0.108974,-0.915823,9.7383,0.416913,-1.0877,-0.157474
1709144270203381,-0.121822,-0.898474,9.70685,0.417354,-1.08745,-0.158154
1709144270204850,-0.097089,-0.905087,9.72277,0.417463,-1.08685,-0.157626
1709144270206293,-0.092713,-0.902585,9.73053,0.417269,-1.08703,-0.157491
1709144270207748,-0.101124,-0.904587,9.71458,0.417251,-1.08515,-0.157882
1709144270209141,-0.11361,-0.903426,9.7147,0.417505,-1.08767,-0.158022
1709144270210581,-0.096944,-0.906158,9.71503,0.417228,-1.08596,-0.157628
1709144270212006,-0.092012,-0.898011,9.70726,0.416659,-1.08666,-0.157647
1709144270213428,-0.104498,-0.895063,9.72218,0.416713,-1.08677,-0.157884
1709144270214843,-0.05841,-0.905266,9.69135,0.416741,-1.08566,-0.157951
1709144270216309,-0.080292,-0.891456,9.7073,0.417382,-1.08644,-0.157655
1709144270217747,-0.040538,-0.908655,9.67497,0.415789,-1.08332,-0.158363
