time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
2.112999999999999861e-03,1.799368764010154109e-01,-1.006369406401666361e-01,3.117159780080736908e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.047000000000000292e-03,1.604841600063604545e-01,-1.006369406401666361e-01,2.689905626229163627e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.988000000000000350e-03,1.571693877726385580e-01,-1.485901870201666586e-01,3.636809226256572547e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.391900000000000082e-02,1.873327251364376167e-01,-4.309304498416664103e-02,2.152833214788841598e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.789400000000000018e-02,1.748446332144322213e-01,-4.309304498416664103e-02,1.922979006575563421e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.181100000000000053e-02,1.688648704789130761e-01,-1.006369406401666361e-01,2.870117849098408946e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.573299999999999893e-02,1.861658185005374833e-01,-1.030351922101666318e-01,3.312908507677375436e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.968700000000000158e-02,1.810282783980774468e-01,-1.030351922101666318e-01,3.193392486430599586e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.363800000000000123e-02,1.863641815559997639e-01,-9.344415010016664247e-02,3.110818697921427400e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.760600000000000054e-02,1.830781986740426248e-01,-8.145583850516664726e-02,2.790495605786774913e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.154800000000000160e-02,1.541568077394153136e-01,-8.145583850516664726e-02,2.202129160280312359e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.546200000000000241e-02,1.596137089614799720e-01,-1.533857080751666602e-01,3.808897935351071240e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.942499999999999671e-02,1.659898425827801560e-01,-1.342046059401666158e-01,3.524748892434198755e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.337800000000000183e-02,1.446976972812858975e-01,-1.342046059401666158e-01,3.027995848136783241e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.730500000000000177e-02,1.845319715398243687e-01,-1.222162943451666484e-01,3.705363538835914738e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.124799999999999689e-02,1.691635390316079679e-01,-1.054324616951666377e-01,2.975287699575593248e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.518599999999999395e-02,1.923617602862552900e-01,-1.054324616951666377e-01,3.513797662378342235e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.921599999999999975e-02,1.827546894732243743e-01,-1.413973964801666372e-01,4.116027145876499205e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.311800000000000244e-02,1.909414074079816004e-01,-1.030351922101666318e-01,3.425973386269794307e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.709399999999999586e-02,2.012135816971429847e-01,-1.030351922101666318e-01,3.675602236384858390e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.100100000000000355e-02,1.980885356534578534e-01,-8.864862904516664088e-02,3.278020372232541835e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.494400000000000561e-02,1.991788911894669667e-01,-9.584141958516664839e-02,3.462614421437614887e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.887200000000000655e-02,1.842696332144324600e-01,-9.584141958516664839e-02,3.114014598438278103e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.281899999999999873e-02,2.079173359171360147e-01,-9.344415010016664247e-02,3.620466446302371466e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.675699999999999579e-02,2.052828011533645025e-01,-1.461929175351666388e-01,4.852865348099363985e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.006729999999999986e-01,1.759083462946016141e-01,-1.461929175351666388e-01,4.054100499490332687e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.045999999999999985e-01,1.801876499742096627e-01,-8.625135956016664884e-02,2.824650670748890313e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.085620000000000057e-01,1.658157116458056635e-01,-2.756670755951666218e-01,7.435842186715129642e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.124669999999999975e-01,9.456625483605485272e-02,-2.756670755951666218e-01,5.140969857030980528e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.164310000000000067e-01,1.662982173166316358e-01,-1.294090848851666697e-01,3.424670038995536014e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.203520000000000006e-01,1.471762939918193069e-01,-1.294090848851666697e-01,2.983444124503960904e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.242859999999999937e-01,1.587319248810992178e-01,-1.917488944301666276e-01,4.737664839056517252e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.282250000000000056e-01,2.579044120672318030e-01,-1.671866126666664287e-02,3.111010686519888324e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.321859999999999979e-01,1.970609073043689818e-01,-1.671866126666664287e-02,1.880772603327083292e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.360609999999999875e-01,1.757402551741282792e-01,3.123468332183336124e-02,8.941290080982113864e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.399900000000000033e-01,1.117668477473046096e-01,-2.013389544551666688e-01,3.730272855273054411e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.439640000000000086e-01,1.200446332144338157e-01,-2.013389544551666688e-01,3.939338485900622189e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.478800000000000114e-01,2.147839978553154339e-01,2.404169636483336273e-02,1.539174188529165210e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.518329999999999957e-01,6.300901677607662066e-02,-2.061344755101666426e-01,2.708576390887786012e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.557099999999999873e-01,1.875496439517281289e-01,-2.061344755101666426e-01,5.997430256777069424e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.596450000000000091e-01,6.913981890906839567e-02,-7.128011990666638202e-03,2.388825891798734835e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.635880000000000112e-01,-9.253263251983412374e-02,-9.344415010016664247e-02,1.219086469150270366e-03,1.000000000000000000e+00,0.000000000000000000e+00
1.675169999999999992e-01,2.215906402815690512e-01,-9.344415010016664247e-02,3.963820078523646373e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.714660000000000073e-01,2.046494549757049697e-02,-3.188248009201666289e-01,4.198268991089319613e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.753979999999999984e-01,1.687840795812149963e-01,1.271413724988333660e-01,1.050199481019224584e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.793609999999999927e-01,1.815939269997439709e-01,1.271413724988333660e-01,1.653897041887946451e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.832930000000000115e-01,-2.397322890255892958e-02,-2.780643450801666972e-01,2.302191774310724970e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.872240000000000015e-01,1.853104885690921577e-01,-1.581812291301666340e-01,4.606165035236915450e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.911779999999999868e-01,7.353510333079071870e-03,-1.581812291301666340e-01,9.970306468009231260e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.951130000000000086e-01,1.527173731309847682e-01,-1.989416849701666212e-01,4.757094204195243314e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.990550000000000097e-01,1.879257784658285857e-01,-3.236203219751666027e-01,9.971658313796487150e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.029870000000000008e-01,1.316820976018977518e-01,-3.236203219751666027e-01,7.812390763303212360e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.069010000000000016e-01,4.465107838126023410e-01,6.480205399633336139e-02,6.200166369260625920e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.108420000000000016e-01,2.148253569444253941e-01,-6.227473637016663066e-02,3.097222019898532963e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.147630000000000094e-01,3.873089639782740790e-01,-6.227473637016663066e-02,8.249976507998598052e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.187330000000000108e-01,5.360871436166476656e-01,2.062646218598333525e-01,4.915730685537416100e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.226200000000000123e-01,3.975226317949847044e-01,4.532246263848332957e-01,2.604174680846062587e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.265479999999999994e-01,1.709623617462892042e-01,-1.605784986151666260e-01,4.276944777808157738e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.304869999999999974e-01,5.687761652458611650e-02,-1.581812291301666340e-01,1.736876341026575510e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.344130000000000102e-01,-2.319945769465903140e-02,1.684861119933336177e-02,6.296252677403994802e-02,1.000000000000000000e+00,0.000000000000000000e+00
2.383440000000000003e-01,1.733249135073222646e-02,-5.969542191751666671e-01,1.369786955749452417e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.422680000000000111e-01,-2.767564456334525858e-02,-2.924509082451666742e-01,2.496151420249701491e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.462219999999999964e-01,-3.221173684206490861e-02,-3.188248009201666289e-01,2.921516101544304078e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.501340000000000230e-01,-5.283602760822425637e-02,-3.188248009201666289e-01,2.484512777433756980e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.540470000000000228e-01,-1.536272630923836147e-01,-4.195268147351666754e-01,2.346092121106849504e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.580160000000000231e-01,1.200336090323510518e-01,-4.195268147351666754e-01,1.086753744979721503e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.619299999999999962e-01,1.195900942580347959e-01,-1.198180427751666527e-01,2.225132508323404146e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.658659999999999912e-01,3.727855798377355256e-02,-4.003457126001666033e-01,7.009573526572626889e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.697919999999999763e-01,2.611094900390220630e-02,-4.003457126001666033e-01,6.633393719432459257e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.737249999999999961e-01,2.197113908936145776e-01,2.350367661048333723e-01,1.422035032711423272e-05,0.000000000000000000e+00,0.000000000000000000e+00
2.776689999999999992e-01,2.475049004436868927e-01,-3.044392198401666416e-01,1.174229114536510643e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.815909999999999802e-01,3.360649391949586118e-01,-3.044392198401666416e-01,1.598277088193386852e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.855320000000000080e-01,2.895932443255428979e-01,4.562065723583335480e-02,2.538760700198352982e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.895300000000000096e-01,3.003833203652721551e-01,3.285459893798333697e-01,1.459020876309134523e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.934280000000000221e-01,3.898701504558115261e-01,3.285459893798333697e-01,2.904380703470508807e-01,0.000000000000000000e+00,0.000000000000000000e+00
