time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
7.249999999999999500e-04,1.181803574484163732e-01,-1.509884385901666404e-01,2.788943652848037136e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.688000000000000327e-03,1.217325630389947122e-01,-1.533857080751666602e-01,2.914996172816091136e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.654999999999999499e-03,1.084246332144331859e-01,-4.309304498416664103e-02,9.184501249831638070e-01,1.000000000000000000e+00,0.000000000000000000e+00
1.255099999999999966e-02,1.987948418375200532e-01,-4.309304498416664103e-02,2.375221413066569642e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.648600000000000065e-02,1.178644667789257028e-01,-5.987677942566664580e-02,1.254741551889430484e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.042700000000000071e-02,1.697546540912604485e-01,-5.028603194116663955e-02,1.951993956533610408e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.438299999999999843e-02,2.443394429030139037e-01,-5.028603194116663955e-02,3.527452819985504640e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.831099999999999936e-02,1.441293693057303926e-01,-8.145583850516664726e-02,2.014378749261789281e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.223199999999999676e-02,1.633123003358516456e-01,-1.581812291301666340e-01,4.017325390157614251e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.616899999999999976e-02,8.966555693731592669e-02,-1.581812291301666340e-01,2.338950158576232230e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.012899999999999801e-02,1.003443515242921080e-01,-1.150235038051666409e-01,1.792224412442001924e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.405200000000000088e-02,7.582621764806596332e-02,-1.725668102101666768e-01,2.330523819375899031e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.799500000000000294e-02,6.355379351977674673e-02,-1.725668102101666768e-01,2.095133996107577889e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.195000000000000312e-02,4.979396841387284667e-02,-2.468949313501666298e-01,3.260289942974261113e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.589199999999999724e-02,5.229651605962004624e-02,-1.294090848851666697e-01,1.244037801073462512e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.983600000000000030e-02,6.778553272251386375e-02,-1.294090848851666697e-01,1.476848339809093691e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.377099999999999436e-02,7.959240299860503853e-02,-2.085317449951666069e-01,3.122780866954343093e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.770800000000000429e-02,1.361363801195221157e-01,-1.653740196701666554e-01,3.505548461087999002e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.164399999999999935e-02,1.093143682214066104e-01,-1.653740196701666554e-01,2.887722300517944873e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.559100000000000541e-02,1.712634575671270198e-01,-7.186479639516663021e-02,2.361182995462217882e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.954500000000000459e-02,1.497212674286192424e-01,-9.344415010016664247e-02,2.333051944846333381e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.345299999999999940e-02,1.435948027059588128e-01,-9.344415010016664247e-02,2.213912496977033850e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.748000000000000220e-02,1.579704350676038871e-01,-1.198180427751666527e-01,3.024855049491065095e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.146200000000000163e-02,1.381072191841710151e-01,-9.584141958516664839e-02,2.151929224492747483e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.536500000000000532e-02,1.462406666173556857e-01,-9.584141958516664839e-02,2.308576144533903474e+00,1.000000000000000000e+00,0.000000000000000000e+00
