time_s,Fz_N,az_force_sign_m_s2,Q_at_calibration_mass,weak,strong
3.458999999999999835e-03,-2.949627312330616036e-01,-6.707025742516663225e-02,2.247027257330213690e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.408999999999999787e-03,-3.099264245447876931e-01,-1.342046059401666158e-01,1.420522971150568692e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.133299999999999932e-02,-3.085256848067690072e-01,-1.342046059401666158e-01,1.399070875194472929e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.527799999999999991e-02,-2.955837263207676813e-01,-7.426304796516662587e-02,2.130916464628090701e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.929300000000000112e-02,-3.083109364058209678e-01,-6.707025742516663225e-02,2.512523817784206415e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.324100000000000124e-02,-2.624858061161106093e-01,-6.707025742516663225e-02,1.662959691007888763e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.723700000000000079e-02,-2.738422586774582612e-01,-1.198180427751666527e-01,1.093370835768740168e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.112200000000000036e-02,-2.714976059009774900e-01,-1.432099894766663932e-02,2.771693326254406564e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.506000000000000089e-02,-2.475547156546547001e-01,-1.432099894766663932e-02,2.281390867957908686e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.897699999999999776e-02,-2.563925739927750413e-01,-4.069538266516663921e-02,1.984842786100719847e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.287500000000000339e-02,-2.699070959522327229e-01,-6.946752691016663817e-02,1.750343568265684935e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.683799999999999769e-02,-2.696128862201963017e-01,-6.946752691016663817e-02,1.745326566064415275e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.076800000000000063e-02,-3.083015142125482555e-01,-6.467200585516663658e-02,2.558251066790764749e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.472300000000000081e-02,-2.843291194357444596e-01,-8.145583850516664726e-02,1.806160389527095900e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.862900000000000056e-02,-2.920996242113087504e-01,-8.145583850516664726e-02,1.943370821578979557e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.258500000000000174e-02,-3.023773042855673054e-01,-7.666031745016663179e-02,2.217613004657221776e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.652800000000000380e-02,-3.001462777730488085e-01,-8.625135956016664884e-02,2.008198363549072774e+00,0.000000000000000000e+00,0.000000000000000000e+00
