name,mass,lower,median,upper,qmin,q_at_point,gate,point_in_compatibility_set,refinement_mass_relative,refinement_upper_relative
Measured zero-zero,0.9999999999999999,0.039290107007668745,0.9999999999999424,25.451699579355456,0.0,0.0,empirical_candidate,True,2.220446049250313e-16,7.349676423018536e-14
"Zero-zero, force uncertainty doubled",1.9999999999999998,0.07858021401533749,1.9999999999998848,50.90339915871091,0.0,0.0,empirical_candidate,True,2.220446049250313e-16,7.349676423018536e-14
"Force zero, acceleration resolved",0.08019677355212315,0.003149875965604472,0.06795212983690939,0.23126785819508744,0.0,0.6390422343161569,empirical_candidate,True,8.766569692397752e-10,2.4215969598229137e-05
"Force resolved, acceleration zero",12.46932957159503,4.323990405776275,14.71624218990746,317.47281826954617,0.0,0.6390422343161576,empirical_candidate,True,8.766563031059604e-10,1.853449674849017e-05
One-zero but unresolved,0.4657596075936956,0.018296465352756225,0.42856197679659414,7.443318049569488,0.0,0.7130456259345992,empirical_candidate,True,1.7759127501904004e-12,7.309465066551724e-07
Strong aligned,1.9999999999999996,1.625549929880939,2.000000000234783,2.5345922489908173,0.0,2.524354896707238e-30,empirical_candidate,True,4.440892098500626e-16,2.111342302169028e-05
Weak aligned,1.0,0.053225876442927894,0.9999999999999988,18.78785408206969,0.0,0.0,empirical_candidate,True,2.220446049250313e-16,3.949475686271242e-06
Balanced perpendicular,1.0,0.039290107007668724,0.9999999999999424,25.451699579355456,5.999999999999999,5.999999999999999,empirical_candidate,True,0.0,7.349676423018536e-14
"Anti-aligned, rejected",0.9999999999999991,0.00206773901106826,0.9999999999664039,483.6200287595068,25.0,50.00000000000001,poor_model_compatibility,False,3.3306690738754696e-16,0.0024679749593000677
"Anti-aligned, two compatible ranges",0.9999999999999998,0.00937410061621869,0.999999999999995,106.67690063725496,5.999999999999999,12.0,empirical_candidate,False,1.1102230246251565e-16,4.122251052851578e-05
"Anti-aligned, force less resolved",0.07748148565748757,0.002215170493428169,0.05848948039593677,0.2882934765218547,4.0,5.665700869843054,empirical_candidate,True,1.25980004206383e-09,4.035451407480295e-06
Moderate angular mismatch,2.3023083674839957,0.9072476993887347,2.3454842206585362,18.246216575469663,0.6862915010152396,0.6928776453924784,empirical_candidate,True,2.922107000813412e-12,2.864670529634239e-05
